"old","new","dist","rel"
"benjamini_it_2016","benjamini_its_2016",1,0.0666666666666667
"kennedy-shaffer_05_2019","kennedy-shaffer_005_2019",1,0.05
"perneger_what_1998","perneger_whats_1998",1,0.0625
"aldrich_fisher_1997","aldrich_ra_1997",6,0.352941176470588
"meehl-theory-testing_1967","meehl_theorytesting_1967",0,0
"gupta_intention_2011","gupta_intentiontotreat_2011",7,0.388888888888889
"rijnsoever_can_2017","rijnsoever_cant_2017",1,0.0588235294117647
"anderson_there_2016","anderson_theres_2016",1,0.0588235294117647
"bartos_zcurve_2020","bartos_zcurve20_2020",2,0.125
"cruwell_what_2023","cruwell_whats_2023",1,0.0666666666666667
"nemeth_devil_2001","nemeth_devils_2001",1,0.0666666666666667
"coles_multi-lab_2022","coles_multilab_2022",0,0
"samelson_watson_1980","samelson_watsons_1980",1,0.0555555555555556
