year,value,source
1980/05,14.17483587,vr
1981/05,12.8972138,vr
1982/06,13.11504636,vr
1983/05,12.06689822,vr
1984/06,12.35407793,vr
1985/05,12.22737193,vr
1986/06,11.88167694,vr
1987/06,11.27817552,vr
1988/05,12.81395095,vr
1989/06,12.21345624,vr
1990/05,12.70524669,vr
1991/06,12.35334553,vr
1992/06,11.29671692,vr
1993/06,11.5755318,vr
1994/05,11.74252006,vr
1995/05,11.46092975,vr
1996/06,11.49203767,vr
1997/05,13.46694751,vr
1998/05,10.89890556,vr
1999/05,14.87316442,vr
2000/05,15.02966773,vr
2001/05,14.37185272,vr
2002/05,14.08841212,vr
2003/05,19.50381203,vr
2004/05,20.90050768,vr
2005/05,23.44854343,vr
2006/05,22.08114396,vr
1980/07,13.8231596,mmrU
1980/10,13.7529708,mmrU
1980/10,13.7148858,mmrU
1981/04,13.6118164,mmrU
1981/06,13.5638772,mmrU
1981/08,13.5478975,mmrU
1981/12,13.519933,mmrU
1982/03,13.5012899,mmrU
1982/05,13.474657,mmrU
1982/08,13.4014166,mmrU
1982/11,13.4173963,mmrU
1983/01,13.3787786,mmrU
1983/03,13.3574723,mmrU
1983/07,13.2882268,mmrU
1983/09,13.2589306,mmrU
1983/11,13.2354049,mmrU
1984/04,13.1763686,mmrU
1984/06,13.1470724,mmrU
1984/08,13.1255442,mmrU
1984/12,13.0618471,mmrU
1985/03,13.032551,mmrU
1985/05,13.0108008,mmrU
1985/10,13.0139079,mmrU
1985/12,13.0232294,mmrU
1986/01,13.0352143,mmrU
1986/07,13.0498623,mmrU
1986/09,13.0498623,mmrU
1986/11,13.0376556,mmrU
1987/04,13.0232294,mmrU
1987/06,13.0205662,mmrU
1987/08,13.0108008,mmrU
1988/01,12.987275,mmrU
1988/03,12.9739586,mmrU
1988/05,12.9033814,mmrU
1988/08,12.9802839,mmrU
1988/08,12.9180295,mmrU
1988/10,12.9792852,mmrU
1988/12,12.99127,mmrU
1989/06,13.0059181,mmrU
1989/09,13.0059181,mmrU
1989/10,13.0059181,mmrU
1990/04,13.0205662,mmrU
1990/06,13.0130202,mmrU
1990/08,13.0034767,mmrU
1990/12,12.9606421,mmrU
1991/03,12.9406675,mmrU
1991/05,12.9277949,mmrU
1991/10,12.8727536,mmrU
1991/12,12.8434574,mmrU
1992/01,12.8203756,mmrU
1992/06,12.7728802,mmrU
1992/08,12.7582321,mmrU
1992/10,12.7569005,mmrU
1993/03,12.7422524,mmrU
1993/06,12.7382575,mmrU
1993/08,12.7171414,mmrU
1993/12,12.6397157,mmrU
1994/03,12.601098,mmrU
1994/05,12.5737993,mmrU
1994/09,12.6583588,mmrU
1994/12,12.7382575,mmrU
1995/01,12.7979151,mmrU
1995/06,12.9473257,mmrU
1995/08,12.9965966,mmrU
1995/10,13.0327729,mmrU
1996/03,13.1191079,mmrU
1996/05,13.1617205,mmrU
