year,mmrU,mmr,mmrL
1980/07,13.8231596,12.1431454,10.68619282
1980/10,13.7529708,12.11401197,10.63692196
1980/12,13.7148858,12.05086241,10.5963068
1981/04,13.6118164,12.02612341,10.49976255
1981/06,13.5638772,11.96590348,10.45848156
1981/08,13.5478975,11.93823486,10.44250182
1981/12,13.519933,11.8828976,10.4092107
1982/03,13.5012899,11.8601117,10.39189932
1982/05,13.474657,11.8275604,10.38390945
1982/08,13.4014166,11.8047745,10.31732721
1982/11,13.4173963,11.7784079,10.28270445
1983/01,13.3787786,11.7461821,10.25695931
1983/03,13.3574723,11.7168859,
1983/07,13.2882268,11.6955796,10.20813234
1983/09,13.2589306,11.7256748,10.21612221
1983/11,13.2354049,11.6689467,10.22278043
1984/04,13.1763686,11.6396505,10.25207662
1984/06,13.1470724,11.5997012,10.26139813
1984/08,13.1255442,11.6033632,10.24719392
1984/12,13.0618471,11.5384455,10.21079563
1985/03,13.032551,11.5144759,10.19481589
1985/05,13.0108008,11.4532202,10.17883615
1985/10,13.0139079,11.4532202,10.17883615
1985/12,13.0232294,11.5411088,10.17883615
1986/01,13.0352143,11.5198025,10.17883615
1986/07,13.0498623,11.4971645,10.1921526
1986/09,13.0498623,11.5118126,10.19481589
1986/11,13.0376556,11.5118126,10.20813234
1987/04,13.0232294,11.5345985,10.20946398
1987/06,13.0205662,11.5586865,10.22011714
1987/08,13.0108008,,10.20813234
1988/01,12.987275,11.4532202,10.19481589
1988/03,12.9739586,11.4532202,10.18283109
1988/05,12.9033814,11.4692,10.17883615
1988/08,12.9180295,11.4908868,
1988/10,12.9792852,11.5144759,10.17883615
1988/12,12.99127,11.5201829,10.17883615
1989/06,13.0059181,11.5494791,10.17883615
1989/09,13.0059181,11.525129,10.17484122
1989/10,13.0059181,11.5662198,10.16418806
1990/04,13.0205662,11.570405,10.14554503
1990/06,13.0130202,11.4665367,10.13356023
1990/08,13.0034767,11.4984962,10.12024378
1990/12,12.9606421,11.4345772,10.09893747
1991/03,12.9406675,11.4692,10.08828431
1991/05,12.9277949,11.4092759,10.0762995
1991/10,12.8727536,11.3893013,10.06165141
1991/12,12.8434574,,10.04833496
1992/01,12.8203756,11.3653317,10.04700332
1992/06,12.7728802,11.3799798,10.02436536
1992/08,12.7582321,11.4406647,9.999064105
1992/10,12.7569005,11.3014127,9.9810869
1993/03,12.7422524,11.2721165,9.936476799
1993/06,12.7382575,11.2833024,9.911175548
1993/08,12.7171414,11.2720179,9.890756995
1993/12,12.6397157,11.2161875,9.840598374
1994/03,12.601098,11.1675824,9.815297123
1994/05,12.5737993,11.1749065,9.79798574
1994/09,12.6583588,11.1928097,9.880547718
1994/12,12.7382575,11.2546572,9.947129958
1995/01,12.7979151,11.3295252,9.997199802
1995/06,12.9473257,11.397883,10.1149172
1995/08,12.9965966,11.568574,10.14021845
1995/10,13.0327729,11.5020472,10.14953997
1996/03,13.1191079,11.5437721,10.18948931
1996/05,13.1617205,11.5792826,10.21345892
1996/07,13.2061087,11.6846601,10.24963527
1996/12,13.332171,11.7494372,10.36659807
1997/01,13.39609,11.8112847,10.42519044
1997/04,13.4586773,11.8868038,10.47179801
1997/07,13.7031673,11.9629739,
1997/09,13.6477709,12.0684401,10.63958525
1997/10,13.7676189,12.1749717,10.74478519
1997/12,13.8408594,12.2844995,10.82335224
1998/05,14.0619124,12.3747184,10.99261909
1998/07,14.1604541,12.4756571,11.11726527
1998/09,14.2246394,12.5664753,11.15293432
1999/01,14.3815071,12.7422524,11.27611147
1999/04,14.4851535,12.8274777,11.33869877
1999/05,14.598654,,11.38730381
1999/07,14.6574905,12.9238887,
1999/09,14.769967,13.0176365,
1999/11,14.7996436,13.114314,11.52113411
2000/01,14.9234866,13.2216445,11.58638471
2000/05,15.0436305,13.3164576,11.6377862
2000/07,14.895522,13.4360393,
2000/08,15.3022444,13.575862,11.82075419
2000/10,15.4277361,13.7156847,11.96190854
2001/03,15.7198102,13.8555074,12.31346277
2001/05,15.8756126,14.0019884,
2001/06,15.9745982,14.1513989,12.45195383
2001/10,16.2684478,14.2922869,12.52985505
2001/12,16.4362351,14.4147983,12.74491568
2002/01,16.5409911,14.5559526,12.85810549
2002/07,16.8277386,14.8196183,12.93633962
2002/09,16.9728879,14.9421296,13.16971038
2002/10,17.0634398,15.0779574,13.29887992
2003/03,17.3204472,15.203132,13.38676848
2003/05,17.4616016,15.3283066,13.61581138
2003/07,17.5578129,15.4521496,13.71834803
2003/11,17.819814,15.686519,13.78226698
2004/01,17.9623,15.7970456,13.95005423
2004/03,18.0631721,15.9248835,14.03927443
2004/07,18.3045327,16.0292844,14.10159541
2004/08,18.4044061,16.1210791,
2004/10,18.4784455,16.21678,14.27497556
2005/04,18.6694034,16.3945102,14.42971269
2005/06,18.7612869,16.4693782,14.57725893
2005/08,18.8153517,16.5442463,14.60788676
2005/12,18.9250792,16.6028386,14.63185637
2006/03,18.9770134,16.661431,14.69843861
2006/04,19.0189602,16.7265336,14.72373986
2006/09,19.0675652,16.7734075,14.73439302
2006/12,19.07955,16.8304019,14.73439302
2007/06,19.1008563,16.8407888,14.73439302
2007/09,19.0582437,16.781464,14.73683436
2007/10,19.0292138,16.7411817,14.674469
2008/03,18.9410589,16.6532932,14.60744288
2008/05,18.9070069,16.623997,
