Term,Definition
scientific research,"Resarch where 1) the goal is inference, 2) the procedures are public, and 3) the conclusions are uncertain"
inference,the process of making conclusions about some unobserved or unmeasured phenomenon based on our direct observations of the world
inductive reasoning,reasoning from specific observations to the generation of hypotheses and theories
deductive reasoning,reasoning that makes conclusions about some unobserved or unmeasured phenomenon based on direct observations of the world
mixed methods,designs that utilize both inductive and deductive reasoning
causal inference,determining whether or not there is a relationship where one variable causes another; seeks to establish that X causes Y
descriptive inference,goes beyond basic description (or collection of facts) to say something about how indiviudal experiences and opinions illuminate something more universal about the research problem at hand
empiricism,to use what observations to make conclusions about what cannot or will not be observed directly; at the heart of scientific research
empirical evidence,the systematic observations that are used in the process of empiricism
replication,refers to the ability of another research group to be able to follow the methods of a research study and replicate the results; relatively rare
reproducibility,the ability to generate a study's findings given the orginal dataset and sometimes the original analysis code
peer review,an important compnent of the scientific process where a scientist's peers evaluate a work before it is published in a journal
basic research,pursuit of fundamental knowledge of phenomena; forms the basis of clinical research
applied research,research focused on specific problems or applications
clinical research,"a broad field that encompasses patient-oriented research, epidemiological and behavioral studies, and outcomes research and health services research"
preclinical research,"The clinical research phase in which testing is performed in non-human subjects with the goal of collecting data on how well the medication works (efficacy), how much damage it can do to an organism (toxicity), and how it is affected by the body (pharmacokinetics)."
Phase I,"In clinical research, a trial that utilizes a small sample size in order to find a safe dosing range and look for side effects."
Phase II,"In clinical research, studies that demonstrate the efficacy of the medication against several endpoints (a.k.a. outcomes). Includes Phase IIa and Phase IIb."
Phase III,"In clinical research, typically a large trial to show that a treatment is efficacious."
Phase IV,"In clinical research, trials that evaluate a medication's long-term effects."
implementation science,Studies that assess to how to best get efficacious treatments to the people who need it most
translational research,"Studies that focus on getting interventions from ""bench to bedside"""
behavioral research,Research that focuses on the most effective ways to change people's behaviors in their daily life
program evaluation,
program monitoring,"Concerned with the implementation of programs, policies or interventions. Necessary for good evaluations."
theory failure,The failure of a program to be effective because the idea or theory behind the program was incorrect
implementation failure,The failure of a program to be effective because the program was not executed properly
research problem,A gap in the academic world's knowledge
stakeholders,Refers to a wide range of people and organizations that have some sort of vested interest in the outcome of a program's implementation
research question,
descriptive research,"Research that seeks to answer the question ""What is going on?"""
explanatory research,"Research that seeks to answer the question ""Why is it going on?"""
correlational research,A type of descriptive research that asks questions about the relationship (a.k.a association) between two or more variables; builds upon descriptive insights by attempting to predict or explain the behavior or phenomenon
quasi-experimental design,
experimental design,"a design where researchers manipulate some independent variable and examine changes to some dependent variable that result (considered the ""gold standard"" of designs)"
prevalence,"Prevalence is the number of existing cases out of the total population at a point in time. In contrast to incidence, which is a measure of disease occurrence, prevalence is a measure of existing disease. Prevalence is unit-less."
demographic research,"Research that seeks to understand more about population size, structure and change (e.g., birth, death migration, marriage, employment, education)"
representative,
needs assessments,
cross-sectional,
panel,
longitudinal,
sample,"In statistics, a sample refers to a set of observations drawn from a population."
correlational research,
dependent variable,"Also called the response variable or â€œy,â€ù the dependent variable is the â€œeffectâ€ù of the independent variable."
independent variable,"Also called the predictor variable or â€œx,â€ù the independent variable is the â€œcauseâ€ù of the dependent variable. In an experimental design, the independent variable is the variable that is manipulated by the experimenter."
point estimate,
confidence interval,"Statisticians use confidence intervals to express the degree of uncertainty associated with a sample statistic. For example, if we compute a 95% confidence interval for a sample mean, we can be 95% confident that the true population mean falls in-between the lower and upper bounds of that confidence interval. That is, if we used the same sampling method to select different samples and computed an interval estimate for each sample, we would expect the true population parameter to fall within the interval estimates 95% of the time. Confidence intervals are often preferred to p-values because they give additional information about the precision of the point estimate."
observational study,
prospective cohort,
retrospective cohort,
case-control,
cases,
controls,
impact evaluations,
randomized control trial (RCT),
average treatment effect,
positive externalities,
spillover effect,
systematic reviews,A systematic and comprehensive summary of the available literature on a particular research topic
meta-analysis,a quantitative approach in which the results from multiple studies are combined to estimate an overall effect size
cluster randomized trial (CRT),
quantitative methods,
dichotomous data,
categorical data,
continuous data,
qualitative data,
triangulation,
black box evaluations,
theory-based impact evaluations,
theory,
hypothesis,"Every quantitative research question should be stated as a pair of null and alternative hypotheses, which must be mutually exclusive. After collecting data and testing these hypotheses, we can either (1) reject the null hypothesis or (2) fail to reject the null hypothesis. We can never â€œproveâ€ù or â€œacceptâ€ù the null hypothesis."
publication bias,
Demographic Health Surveys (DHS),
The Lancet,
donors,public and private organizations that fund research and programs
policy makers,government officials and bureaucrats at international bodies like the WHO
program implementers,organizations like Doctors Without Borders that actually deliver services to beneficiaries
beneficiaries,"those people that benefit from the relevant intervention (program, policy, etc.)"
scholars,academics who study the relevant topic or policy issue
indicator,
effect size,a measure of the strenght or magnitude of a relationship
forest plot,"a simple visual representation of the amount of variation between the results of the studies, as well as an estimate of hte overall result of all the studies together. The results of component studies are shown as squares centred on the point estimate of the result of each study. "
population,The group of interest in your research problem
intervention,
comparison,
outcomes,
keywords,
introduction,A brief overview of the research problem and question; explains the aim of the paper and puts the research question in context; often not very helpful in medicine and public health
discussion,"The part of the journal article that links the study results to the existing literature, demonstrating how the results add to what is already known."
references,cited pieces of literature in a journal article
reliability,
results,In a systematic review: section in an article that begins with the details about how the 
methods,"a section that provides enough infromation to let the reader attempt to replicate the findings in a new study; some information about the research design, subjects, materials or measures, data sources and procedures, and analysis strategy"
background,
appendices,
evidence-based practice (EBP),EBM extended to evidence-based public health and evidence based global health policy; the practice of adopting policies and programs that have been shown to save lives and improve health at scale
corrigendum,correction of a published text; usually issued shortly after original text is published
retractions,"a public statement made about an earlier publication that withdraws, cancels, refutes or reverses the original statement; or desists from publishing the original statement altogether"
critical appraisal,the process of ways of reading and evaluating the literature in each discipline
evidence-based medicine (EBM),"integrating the best available evidence with clinical judgement and context, such as a patient's preferences and values"
academic or scholarly journal,These terms are often used interchangeably.  Academic journals are journals that publish articles with footnotes and bibliographies that are intended for some sort of research community (includes both peer-reviewed and non-peer-reviewed journals).  Scholarly (peer-reviewed_ journals are journals that are intended for an academic audience where all articles in the journal have undergone a peer review process
random error,Error that adds noise (aka variability) to your data but does not affect the average
systematic error,"Non-random error and represents a deviation from the ""truth""; also known as bias"
bias,"Non-random error and represents a deviation from the ""truth""; also known as systematic error"
selection bias,"In intervention research, represents pre-treatment (aka, baseline) differences between study groups"
confounding,Where the effect of an intervention is biased due to an unmeasured/unpredicted variable that is correlated with both the treatment and the outcome
confounding variable,"variables that are correlated with both the ""treatment"" and the ""outcome"" "
internal validity,"The extent to which the study results are ""correct"""
blind,"The protocol of the participants, data collectors, and/or patients being unaware of which condition the participant/patient is assigned to"
biostatistics,"a field that involves the design, analysis and interpretation of data for studies in public health and medicine; involves arriving at conclusions about disease and health risks by evaluating and applying mathematical and statistical formulas to factors that impact health"
mortality,number of deaths within a given population in a given time period
generalizability,the ability to apply study results to another population/locale other than the one in which the original study was conducted
external validity,the extent to which study results can be generalized to new people and places other than the people/places that the study was conducted in
outcome switching,"When authors deviate from their pre-registered protocol and present different results when the pre-registered plan does not work out - some journals care, some do not"
